project,case_id,primitive,primitive_group,is_low_risk,n_fail,n_selfpure,n_upgrade_avoid,n_upgrade_neutralize,n_absent,n_excluded_missing_destination,n_total_instances,report_path
big_test3,34a0f26,IF,IF,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/34a0f26/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,3538a6a,CVW,CVW/AVW,1,0,0,0,0,1,1,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/3538a6a/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,3538a6a,AVW,CVW/AVW,1,0,0,0,0,1,2,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/3538a6a/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,3538a6a,CAW,CAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/3538a6a/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,3538a6a,OUW,OUW,0,41,0,0,0,0,0,41,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/3538a6a/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,3538a6a,AAW,AAW,0,0,2,0,0,0,0,2,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/3538a6a/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,3538a6a,CFH,CFH,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/3538a6a/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,3538a6a,IF,IF,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/3538a6a/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,3587cbb,CVW,CVW/AVW,1,0,0,0,0,1,10,0,/home/jpu007/ExpBridge/projects/big_test2/completed/3587cbb/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,3587cbb,AVW,CVW/AVW,1,1,0,0,0,0,27,1,/home/jpu007/ExpBridge/projects/big_test2/completed/3587cbb/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,3587cbb,CAW,CAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/3587cbb/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,3587cbb,OUW,OUW,0,1,0,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test2/completed/3587cbb/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,3587cbb,AAW,AAW,0,0,1,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test2/completed/3587cbb/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
